file,class,code,start_pos,end_pos,duration_s,ttf_start_h,ttf_end_h
E01_15,E01,E029,353239,353256,18,70.04472222222222,70.04
E01_15,E01,E029,527354,527370,17,21.679444444444446,21.675
E01_15,E01,E012,604800,605238,439,0.16666666666666666,0.045
E01_16,E01,E012,604800,604925,126,0.16666666666666666,0.13194444444444445
E01_17,E01,E012,604800,604907,108,0.16666666666666666,0.13694444444444445
E01_17,E01,E012,604978,605400,423,0.11722222222222223,0.0
E01_2,E01,E029,279371,279384,14,90.56361111111111,90.56
E01_2,E01,E029,594348,594357,10,3.07,3.0675
E01_2,E01,E029,604133,604475,343,0.35194444444444445,0.2569444444444444
E01_2,E01,E012,604800,604819,20,0.16666666666666666,0.1613888888888889
E01_3,E01,E028,588147,588155,9,4.7925,4.790277777777778
E01_3,E01,E012,604800,604801,2,0.16666666666666666,0.1663888888888889
E01_4,E01,E012,604800,604827,28,0.16666666666666666,0.15916666666666668
E01_4,E01,E012,604836,604843,8,0.15666666666666668,0.15472222222222223
E01_4,E01,E012,604852,604873,22,0.15222222222222223,0.1463888888888889
E01_4,E01,E003,604893,605400,508,0.14083333333333334,0.0
E01_5,E01,E003,83010,86602,3593,145.10833333333332,144.11055555555555
E01_5,E01,E003,163652,186798,23147,122.70777777777778,116.27833333333334
E01_5,E01,E003,428660,431533,2874,49.09444444444444,48.29638888888889
E01_5,E01,E003,514889,518202,3314,25.141944444444444,24.221666666666668
E01_5,E01,E003,601012,604790,3779,1.218888888888889,0.16944444444444445
E01_5,E01,E012,604800,604867,68,0.16666666666666666,0.14805555555555555
E01_6,E01,E012,604800,604827,28,0.16666666666666666,0.15916666666666668
E01_6,E01,E012,604836,604843,8,0.15666666666666668,0.15472222222222223
E01_6,E01,E012,604852,604873,22,0.15222222222222223,0.1463888888888889
E01_6,E01,E003,604890,605400,511,0.14166666666666666,0.0
E01_7,E01,E012,604800,604805,6,0.16666666666666666,0.16527777777777777
E01_8,E01,E003,76667,101631,24965,146.87027777777777,139.93583333333333
E01_8,E01,E003,252139,259410,7272,98.12805555555556,96.10833333333333
E01_8,E01,E003,338463,345766,7304,74.14916666666667,72.12055555555555
E01_8,E01,E003,425857,432147,6291,49.87305555555555,48.12583333333333
E01_8,E01,E003,512275,518429,6155,25.868055555555557,24.15861111111111
E01_8,E01,E003,598600,604786,6187,1.8888888888888888,0.17055555555555554
E01_8,E01,E012,604800,604866,67,0.16666666666666666,0.14833333333333334
E01_9,E01,E010,7560,7594,35,165.93722222222223,165.92777777777778
E01_9,E01,E010,8304,8333,30,165.73055555555555,165.7225
E01_9,E01,E003,9661,10589,929,165.35361111111112,165.09583333333333
E01_9,E01,E010,13101,13139,39,164.39805555555554,164.3875
E01_9,E01,E001,13289,13551,263,164.34583333333333,164.27305555555554
E01_9,E01,E011,44034,52472,8439,155.80555555555554,153.46166666666667
E01_9,E01,E011,130349,138689,8341,131.82916666666668,129.5125
E01_9,E01,E011,214134,240501,26368,108.55555555555556,101.23138888888889
E01_9,E01,E011,389590,398279,8690,59.81777777777778,57.40416666666667
E01_9,E01,E011,475847,484636,8790,35.8575,33.416111111111114
E01_9,E01,E010,531951,531990,40,20.273055555555555,20.26222222222222
E01_9,E01,E011,563283,571017,7735,11.569722222222222,9.421388888888888
E01_9,E01,E009,601938,601964,27,0.8322222222222222,0.825
E01_9,E01,E009,602917,602946,30,0.5602777777777778,0.5522222222222222
E01_9,E01,E010,603585,603614,30,0.37472222222222223,0.36666666666666664
E01_9,E01,E029,604158,604579,422,0.21555555555555556,0.09861111111111111
E01_9,E01,E003,604586,604675,90,0.09666666666666666,0.07194444444444445
E01_9,E01,E011,604719,604742,24,0.059722222222222225,0.05333333333333334
E01_9,E01,E011,604748,604765,18,0.051666666666666666,0.04694444444444444
E01_9,E01,E011,604769,604781,13,0.04583333333333333,0.0425
E01_9,E01,E011,604785,604794,10,0.04138888888888889,0.03888888888888889
E01_9,E01,E012,604800,604837,38,0.03722222222222222,0.026944444444444444
E01_9,E01,E011,604841,604894,54,0.025833333333333333,0.011111111111111112
E01_9,E01,E003,604899,604934,36,0.009722222222222222,0.0
E02_0,E02,E016,604779,605065,287,0.1663888888888889,0.08694444444444445
E02_0,E02,E003,605066,605080,15,0.08666666666666667,0.08277777777777778
E02_0,E02,E028,605092,605150,59,0.07944444444444444,0.06333333333333334
E02_1,E02,E016,604800,604849,50,0.16666666666666666,0.15305555555555556
E02_1,E02,E001,604850,605047,198,0.1527777777777778,0.09805555555555556
E02_1,E02,E001,605057,605154,98,0.09527777777777778,0.06833333333333333
E02_1,E02,E003,605170,605221,52,0.06388888888888888,0.04972222222222222
E02_1,E02,E016,605272,605275,4,0.035555555555555556,0.034722222222222224
E02_1,E02,E001,605276,605301,26,0.034444444444444444,0.0275
E02_1,E02,E012,605309,605400,92,0.025277777777777777,0.0
E02_10,E02,E029,134021,171816,37796,130.9386111111111,120.44
E02_10,E02,E029,344521,344858,338,72.46638888888889,72.37277777777778
E02_10,E02,E029,429507,430706,1200,48.85916666666667,48.52611111111111
E02_10,E02,E028,465030,465071,42,38.99166666666667,38.98027777777778
E02_10,E02,E029,515790,517444,1655,24.891666666666666,24.432222222222222
E02_10,E02,E029,600293,603900,3608,1.418611111111111,0.4166666666666667
E02_10,E02,E016,604800,604870,71,0.16666666666666666,0.14722222222222223
E02_10,E02,E009,604883,604898,16,0.1436111111111111,0.13944444444444445
E02_10,E02,E016,604901,604998,98,0.1386111111111111,0.11166666666666666
E02_11,E02,E016,604800,604847,48,0.16666666666666666,0.15361111111111111
E02_12,E02,E003,39852,39855,4,157.09666666666666,157.09583333333333
E02_12,E02,E003,39857,39868,12,157.09527777777777,157.09222222222223
E02_12,E02,E003,39870,39873,4,157.09166666666667,157.09083333333334
E02_12,E02,E003,39875,40023,149,157.09027777777777,157.04916666666668
E02_12,E02,E003,40025,40029,5,157.04861111111111,157.0475
E02_12,E02,E003,40031,40034,4,157.04694444444445,157.04611111111112
E02_12,E02,E003,40036,40043,8,157.04555555555555,157.04361111111112
E02_12,E02,E003,40048,40048,1,157.04222222222222,157.04222222222222
E02_12,E02,E003,40052,40053,2,157.04111111111112,157.04083333333332
E02_12,E02,E003,40057,40066,10,157.03972222222222,157.03722222222223
E02_12,E02,E003,40071,40071,1,157.03583333333333,157.03583333333333
E02_12,E02,E003,40082,40089,8,157.03277777777777,157.03083333333333
E02_12,E02,E003,40094,40094,1,157.02944444444444,157.02944444444444
E02_12,E02,E003,40097,40099,3,157.0286111111111,157.02805555555557
E02_12,E02,E003,40103,40103,1,157.02694444444444,157.02694444444444
E02_12,E02,E003,40119,40119,1,157.0225,157.0225
E02_12,E02,E003,40124,40124,1,157.0211111111111,157.0211111111111
E02_12,E02,E003,40129,40129,1,157.0197222222222,157.0197222222222
E02_12,E02,E003,40133,40133,1,157.0186111111111,157.0186111111111
E02_12,E02,E003,40148,40148,1,157.01444444444445,157.01444444444445
E02_12,E02,E003,40153,40153,1,157.01305555555555,157.01305555555555
E02_12,E02,E003,40157,40157,1,157.01194444444445,157.01194444444445
E02_12,E02,E003,40162,40162,1,157.01055555555556,157.01055555555556
E02_12,E02,E003,40181,40181,1,157.0052777777778,157.0052777777778
E02_12,E02,E003,40185,40185,1,157.00416666666666,157.00416666666666
E02_12,E02,E003,40190,40190,1,157.00277777777777,157.00277777777777
E02_12,E02,E003,40195,40195,1,157.0013888888889,157.0013888888889
